TransactionID,Description,Date,Year,Month,TransactionType,FuelType,Amount,BalanceAfterTransaction
34,We charged you for gas,2025-09-10,2025,2025-09,Charge,Gas,-46.86,-33.74
35,You made a payment,2025-08-18,2025,2025-08,Payment,,120.0,13.12
36,We charged you for gas,2025-08-10,2025,2025-08,Charge,Gas,-41.51,-106.88
37,We charged you for electricity,2025-08-10,2025,2025-08,Charge,Electricity,-134.11,-65.37
38,You made a payment,2025-08-10,2025,2025-08,Payment,,40.0,68.74
39,You made a payment,2025-07-16,2025,2025-07,Payment,,200.0,28.74
40,We charged you for gas,2025-07-10,2025,2025-07,Charge,Gas,-15.32,-171.26
41,We charged you for electricity,2025-07-10,2025,2025-07,Charge,Electricity,-41.42,-155.94
42,We charged you for gas,2025-06-30,2025,2025-06,Charge,Gas,-32.81,-114.52
43,We charged you for electricity,2025-06-30,2025,2025-06,Charge,Electricity,-83.88,-81.71
44,You made a payment,2025-06-19,2025,2025-06,Payment,,200.0,2.17
45,We charged you for electricity,2025-06-10,2025,2025-06,Charge,Electricity,-132.89,-197.83
46,We charged you for gas,2025-06-10,2025,2025-06,Charge,Gas,-71.07,-64.94
47,You made a payment,2025-05-20,2025,2025-05,Payment,,120.0,6.13
48,You made a payment,2025-05-14,2025,2025-05,Payment,,120.0,-113.87
49,We charged you for gas,2025-05-10,2025,2025-05,Charge,Gas,-115.48,-233.87
50,We charged you for electricity,2025-05-10,2025,2025-05,Charge,Electricity,-124.69,-118.39
51,You made a payment,2025-04-20,2025,2025-04,Payment,,160.0,6.3
52,You made a payment,2025-04-13,2025,2025-04,Payment,,150.0,-153.7
53,We charged you for electricity,2025-04-10,2025,2025-04,Charge,Electricity,-43.24,-303.7
54,We charged you for gas,2025-04-10,2025,2025-04,Charge,Gas,-52.25,-260.46
55,We charged you for electricity,2025-03-31,2025,2025-03,Charge,Electricity,-92.33,-208.21
56,We charged you for gas,2025-03-31,2025,2025-03,Charge,Gas,-118.0,-115.88
57,You made a payment,2025-03-20,2025,2025-03,Payment,,310.0,2.12
58,We charged you for gas,2025-03-10,2025,2025-03,Charge,Gas,-179.86,-307.88
59,We charged you for electricity,2025-03-10,2025,2025-03,Charge,Electricity,-131.97,-128.02
60,You made a payment,2025-02-17,2025,2025-02,Payment,,80.0,3.95
61,You made a payment,2025-02-15,2025,2025-02,Payment,,100.0,-76.05
62,We charged you for gas,2025-02-10,2025,2025-02,Charge,Gas,-243.88,-176.05
63,We charged you for electricity,2025-02-10,2025,2025-02,Charge,Electricity,-149.24,67.83
64,You made a payment,2025-02-09,2025,2025-02,Payment,,100.0,217.07
65,You made a payment,2025-02-03,2025,2025-02,Payment,,100.0,117.07
66,You made a payment,2025-01-17,2025,2025-01,Payment,,370.0,17.07
67,We charged you for gas,2025-01-10,2025,2025-01,Charge,Gas,-70.27,-352.93
68,We charged you for electricity,2025-01-10,2025,2025-01,Charge,Electricity,-55.3,-282.66
69,We charged you for gas,2024-12-31,2024,2024-12,Charge,Gas,-123.86,-227.36
70,We charged you for electricity,2024-12-31,2024,2024-12,Charge,Electricity,-113.21,-103.5
71,You made a payment,2024-12-20,2024,2024-12,Payment,,40.0,9.71
72,We charged you for gas,2024-12-10,2024,2024-12,Charge,Gas,-182.88,-30.29
73,We charged you for electricity,2024-12-10,2024,2024-12,Charge,Electricity,-157.14,152.59
74,You made a payment,2024-12-09,2024,2024-12,Payment,,100.0,309.73
75,You made a payment,2024-12-02,2024,2024-12,Payment,,200.0,209.73
76,You made a payment,2024-11-14,2024,2024-11,Payment,,130.0,9.73
77,We charged you for gas,2024-11-10,2024,2024-11,Charge,Gas,-118.23,-120.27
78,We charged you for electricity,2024-11-10,2024,2024-11,Charge,Electricity,-152.86,-2.04
79,You made a payment,2024-11-07,2024,2024-11,Payment,,50.0,150.82
80,You made a payment,2024-10-29,2024,2024-10,Payment,,50.0,100.82
81,You made a payment,2024-10-25,2024,2024-10,Payment,,50.0,50.82
82,You made a payment,2024-10-16,2024,2024-10,Payment,,200.0,0.82
83,We charged you for gas,2024-10-10,2024,2024-10,Charge,Gas,-33.09,-199.18
84,We charged you for electricity,2024-10-10,2024,2024-10,Charge,Electricity,-39.57,-166.09
85,We charged you for gas,2024-09-30,2024,2024-09,Charge,Gas,-54.34,-126.52
86,We charged you for electricity,2024-09-30,2024,2024-09,Charge,Electricity,-81.26,-72.18
87,You made a payment,2024-09-16,2024,2024-09,Payment,,150.0,9.08
88,We charged you for gas,2024-09-10,2024,2024-09,Charge,Gas,-44.5,-140.92
89,We charged you for electricity,2024-09-10,2024,2024-09,Charge,Electricity,-102.8,-96.42
90,You made a payment,2024-08-17,2024,2024-08,Payment,,150.0,6.38
91,We charged you for gas,2024-08-10,2024,2024-08,Charge,Gas,-43.49,-143.62
92,We charged you for electricity,2024-08-10,2024,2024-08,Charge,Electricity,-100.58,-100.13
93,You made a payment,2024-07-17,2024,2024-07,Payment,,160.0,0.45
94,We charged you for electricity,2024-07-12,2024,2024-07,Charge,Electricity,-33.75,-159.55
95,We charged you for electricity,2024-07-12,2024,2024-07,Charge,Electricity,-72.89,-125.8
96,We charged you for gas,2024-07-10,2024,2024-07,Charge,Gas,-18.03,-52.91
97,We charged you for gas,2024-06-30,2024,2024-06,Charge,Gas,-35.94,-34.88
98,You made a payment,2024-06-19,2024,2024-06,Payment,,170.0,1.06
99,We charged you for electricity,2024-06-10,2024,2024-06,Charge,Electricity,-113.27,-168.94
100,We charged you for gas,2024-06-10,2024,2024-06,Charge,Gas,-56.07,-55.67
101,You made a payment,2024-05-19,2024,2024-05,Payment,,120.0,0.4
102,We charged you for gas,2024-05-10,2024,2024-05,Charge,Gas,-113.13,-119.6
103,We charged you for electricity,2024-05-10,2024,2024-05,Charge,Electricity,-115.5,-6.47
104,Balance transfer,2024-05-08,2024,2024-05,Balance Transfer,,101.36,109.03
105,You made a payment,2024-04-19,2024,2024-04,Payment,,140.0,7.67
106,You made a payment,2024-04-18,2024,2024-04,Payment,,150.0,-132.33
107,We charged you for gas,2024-04-10,2024,2024-04,Charge,Gas,-30.1,-282.33
108,We charged you for electricity,2024-04-10,2024,2024-04,Charge,Electricity,-44.07,-252.23
109,We charged you for gas,2024-03-31,2024,2024-03,Charge,Gas,-100.76,-208.16
110,We charged you for electricity,2024-03-31,2024,2024-03,Charge,Electricity,-112.11,-107.4
111,You made a payment,2024-03-29,2024,2024-03,Payment,,60.0,4.71
112,You made a payment,2024-03-22,2024,2024-03,Payment,,60.0,-55.29
113,You made a payment,2024-03-17,2024,2024-03,Payment,,50.0,-115.29
114,We charged you for gas,2024-03-10,2024,2024-03,Charge,Gas,-98.87,-165.29
115,We charged you for electricity,2024-03-10,2024,2024-03,Charge,Electricity,-53.11,-66.42
116,You made a card payment,2024-02-27,2024,2024-02,Payment,,65.79,-13.31
117,Gas,2024-02-26,2024,2024-02,Adjustment,Gas,0.68,-79.1
118,We charged you for electricity,2024-02-25,2024,2024-02,Charge,Electricity,-13.31,-79.78
119,We charged you for gas,2024-02-25,2024,2024-02,Charge,Gas,-64.89,-66.47
120,We charged you for electricity,2024-02-14,2024,2024-02,Charge,Electricity,-0.9,-1.58
121,We reversed a previous charge,2024-02-14,2024,2024-02,Reversal,,-0.68,-0.68
