transactionid,description,date,year,month,transactiontype,fueltype,amount,balanceaftertransaction,transaction_category
54,We charged you for gas,10/04/2025,2025,2025-04,Charge,Gas,-52.25,-260.46,Charge
55,We charged you for electricity,31/03/2025,2025,2025-03,Charge,Electricity,-92.33,-208.21,Charge
56,We charged you for gas,31/03/2025,2025,2025-03,Charge,Gas,-118,-115.88,Charge
57,You made a payment,20/03/2025,2025,2025-03,Payment,,310,2.12,Payment
58,We charged you for gas,10/03/2025,2025,2025-03,Charge,Gas,-179.86,-307.88,Charge
59,We charged you for electricity,10/03/2025,2025,2025-03,Charge,Electricity,-131.97,-128.02,Charge
60,You made a payment,17/02/2025,2025,2025-02,Payment,,80,3.95,Payment
61,You made a payment,15/02/2025,2025,2025-02,Payment,,100,-76.05,Payment
62,We charged you for gas,10/02/2025,2025,2025-02,Charge,Gas,-243.88,-176.05,Charge
63,We charged you for electricity,10/02/2025,2025,2025-02,Charge,Electricity,-149.24,67.83,Charge
64,You made a payment,09/02/2025,2025,2025-02,Payment,,100,217.07,Payment
65,You made a payment,03/02/2025,2025,2025-02,Payment,,100,117.07,Payment
66,You made a payment,17/01/2025,2025,2025-01,Payment,,370,17.07,Payment
67,We charged you for gas,10/01/2025,2025,2025-01,Charge,Gas,-70.27,-352.93,Charge
68,We charged you for electricity,10/01/2025,2025,2025-01,Charge,Electricity,-55.3,-282.66,Charge
69,We charged you for gas,31/12/2024,2024,2024-12,Charge,Gas,-123.86,-227.36,Charge
70,We charged you for electricity,31/12/2024,2024,2024-12,Charge,Electricity,-113.21,-103.5,Charge
71,You made a payment,20/12/2024,2024,2024-12,Payment,,40,9.71,Payment
72,We charged you for gas,10/12/2024,2024,2024-12,Charge,Gas,-182.88,-30.29,Charge
73,We charged you for electricity,10/12/2024,2024,2024-12,Charge,Electricity,-157.14,152.59,Charge
74,You made a payment,09/12/2024,2024,2024-12,Payment,,100,309.73,Payment
75,You made a payment,02/12/2024,2024,2024-12,Payment,,200,209.73,Payment
76,You made a payment,14/11/2024,2024,2024-11,Payment,,130,9.73,Payment
77,We charged you for gas,10/11/2024,2024,2024-11,Charge,Gas,-118.23,-120.27,Charge
78,We charged you for electricity,10/11/2024,2024,2024-11,Charge,Electricity,-152.86,-2.04,Charge
79,You made a payment,07/11/2024,2024,2024-11,Payment,,50,150.82,Payment
80,You made a payment,29/10/2024,2024,2024-10,Payment,,50,100.82,Payment
81,You made a payment,25/10/2024,2024,2024-10,Payment,,50,50.82,Payment
82,You made a payment,16/10/2024,2024,2024-10,Payment,,200,0.82,Payment
83,We charged you for gas,10/10/2024,2024,2024-10,Charge,Gas,-33.09,-199.18,Charge
84,We charged you for electricity,10/10/2024,2024,2024-10,Charge,Electricity,-39.57,-166.09,Charge
85,We charged you for gas,30/09/2024,2024,2024-09,Charge,Gas,-54.34,-126.52,Charge
86,We charged you for electricity,30/09/2024,2024,2024-09,Charge,Electricity,-81.26,-72.18,Charge
87,You made a payment,16/09/2024,2024,2024-09,Payment,,150,9.08,Payment
88,We charged you for gas,10/09/2024,2024,2024-09,Charge,Gas,-44.5,-140.92,Charge
89,We charged you for electricity,10/09/2024,2024,2024-09,Charge,Electricity,-102.8,-96.42,Charge
90,You made a payment,17/08/2024,2024,2024-08,Payment,,150,6.38,Payment
91,We charged you for gas,10/08/2024,2024,2024-08,Charge,Gas,-43.49,-143.62,Charge
92,We charged you for electricity,10/08/2024,2024,2024-08,Charge,Electricity,-100.58,-100.13,Charge
93,You made a payment,17/07/2024,2024,2024-07,Payment,,160,0.45,Payment
94,We charged you for electricity,12/07/2024,2024,2024-07,Charge,Electricity,-33.75,-159.55,Charge
95,We charged you for electricity,12/07/2024,2024,2024-07,Charge,Electricity,-72.89,-125.8,Charge
96,We charged you for gas,10/07/2024,2024,2024-07,Charge,Gas,-18.03,-52.91,Charge
97,We charged you for gas,30/06/2024,2024,2024-06,Charge,Gas,-35.94,-34.88,Charge
98,You made a payment,19/06/2024,2024,2024-06,Payment,,170,1.06,Payment
99,We charged you for electricity,10/06/2024,2024,2024-06,Charge,Electricity,-113.27,-168.94,Charge
100,We charged you for gas,10/06/2024,2024,2024-06,Charge,Gas,-56.07,-55.67,Charge
101,You made a payment,19/05/2024,2024,2024-05,Payment,,120,0.4,Payment
102,We charged you for gas,10/05/2024,2024,2024-05,Charge,Gas,-113.13,-119.6,Charge
103,We charged you for electricity,10/05/2024,2024,2024-05,Charge,Electricity,-115.5,-6.47,Charge
104,Balance transfer,08/05/2024,2024,2024-05,Balance Transfer,,101.36,109.03,Payment
105,You made a payment,19/04/2024,2024,2024-04,Payment,,140,7.67,Payment
106,You made a payment,18/04/2024,2024,2024-04,Payment,,150,-132.33,Payment
107,We charged you for gas,10/04/2024,2024,2024-04,Charge,Gas,-30.1,-282.33,Charge
108,We charged you for electricity,10/04/2024,2024,2024-04,Charge,Electricity,-44.07,-252.23,Charge
109,We charged you for gas,31/03/2024,2024,2024-03,Charge,Gas,-100.76,-208.16,Charge
110,We charged you for electricity,31/03/2024,2024,2024-03,Charge,Electricity,-112.11,-107.4,Charge
111,You made a payment,29/03/2024,2024,2024-03,Payment,,60,4.71,Payment
112,You made a payment,22/03/2024,2024,2024-03,Payment,,60,-55.29,Payment
113,You made a payment,17/03/2024,2024,2024-03,Payment,,50,-115.29,Payment
114,We charged you for gas,10/03/2024,2024,2024-03,Charge,Gas,-98.87,-165.29,Charge
115,We charged you for electricity,10/03/2024,2024,2024-03,Charge,Electricity,-53.11,-66.42,Charge
116,You made a card payment,27/02/2024,2024,2024-02,Payment,,65.79,-13.31,Payment
117,Gas,26/02/2024,2024,2024-02,Adjustment,Gas,0.68,-79.1,Payment
118,We charged you for electricity,25/02/2024,2024,2024-02,Charge,Electricity,-13.31,-79.78,Charge
119,We charged you for gas,25/02/2024,2024,2024-02,Charge,Gas,-64.89,-66.47,Charge
120,We charged you for electricity,14/02/2024,2024,2024-02,Charge,Electricity,-0.9,-1.58,Charge
121,We reversed a previous charge,14/02/2024,2024,2024-02,Reversal,,-0.68,-0.68,Charge
